name year month day tmin tmax
HSD_AT_114272 1995 3 4 -1.2 -1.5
HSD_AT_114272 1995 6 24 7.1 6.8
HSD_AT_114272 1996 1 21 -3.6 -3.8
HSD_AT_114272 1996 1 22 -3.1 -3.5
HSD_AT_114272 1996 1 23 -3 -3.3
HSD_AT_114272 1996 1 24 -4.5 -4.6
HSD_AT_114272 1996 3 12 -6.7 -7.1
HSD_AT_114272 1996 4 2 -1.7 -2.3
HSD_AT_114272 1996 4 4 -1.4 -1.9
HSD_AT_114272 1996 4 26 7 6.9
HSD_AT_114272 1997 1 5 -1.1 -1.2
HSD_AT_114272 1997 1 6 -0.4 -1.2
HSD_AT_114272 1997 1 7 -1.4 -1.6
HSD_AT_114272 1997 1 8 -0.9 -1.5
HSD_AT_114272 1997 1 9 -1.8 -2.2
HSD_AT_114272 1997 1 11 -0.7 -0.9
HSD_AT_114272 1997 1 22 0.6 0.3
HSD_AT_114272 1999 8 30 12.5 12.1
HSD_AT_114272 2000 10 6 10 9.7
HSD_AT_114272 2000 10 9 5.9 5
HSD_AT_114272 2000 10 19 8.9 8.2
HSD_AT_114272 2000 10 20 8.4 8.3
HSD_AT_114272 2002 2 16 -1.4 -2.3
HSD_AT_114272 2002 3 3 2.2 0.7
HSD_AT_114272 2002 4 10 -0.6 -0.8
HSD_AT_114272 2002 4 12 2 0.9
HSD_AT_114272 2002 4 16 4.1 3.4
HSD_AT_114272 2002 9 22 10 9.3
HSD_AT_114272 2002 9 25 6 5.7
HSD_AT_114272 2002 10 12 7.6 7.2
HSD_AT_114272 2003 9 9 10.8 10.2
HSD_AT_114272 2004 2 20 -1.9 -2.3
HSD_AT_114272 2004 2 21 -2.1 -2.6
HSD_AT_114272 2004 3 7 -4.4 -4.8
HSD_AT_114272 2004 3 8 -3.8 -4.1
HSD_AT_114272 2004 3 23 0.1 -0.8
HSD_AT_114272 2004 3 24 -1 -1.9
HSD_AT_114272 2004 10 12 3.2 2.9
HSD_AT_114272 2004 10 13 2.9 2.2
HSD_AT_114272 2005 4 10 2.2 2
HSD_AT_114272 2005 4 12 0.9 0.2
HSD_AT_114272 2005 4 19 5.3 4.4
HSD_AT_114272 2005 4 20 4.8 3.9
HSD_AT_114272 2005 8 21 13.1 12.8
HSD_AT_114272 2005 9 18 6.4 6.3
HSD_AT_114272 2005 9 19 6.9 6.5
HSD_AT_114272 2005 9 20 7.8 7.2
HSD_AT_114272 2005 10 3 8.3 8
HSD_AT_114272 2005 10 5 11.1 10.2
HSD_AT_114272 2005 10 31 6.8 6
HSD_AT_114272 2006 2 23 -0.3 -1.2
HSD_AT_114272 2006 2 25 -1.3 -2.1
HSD_AT_114272 2006 4 28 8.2 6.7
HSD_AT_114272 2006 4 29 7.3 6.5
HSD_AT_114272 2006 5 30 5.1 4.6
HSD_AT_114272 2006 8 3 11.4 10.8
HSD_AT_114272 2006 8 12 8.5 8.2
HSD_AT_114272 2006 9 16 12.3 12.1
HSD_AT_114272 2007 1 23 1.3 0.8
HSD_AT_114272 2007 3 8 4.6 4.3
HSD_AT_114272 2007 3 20 -1.6 -3.1
HSD_AT_114272 2007 9 6 5.3 5.1
HSD_AT_114272 2008 5 20 9.1 8.6
HSD_AT_114272 2008 6 5 13.6 12.3
HSD_AT_114272 2008 9 14 6.9 6.4
HSD_AT_114272 2009 1 17 -0.8 -1.1
HSD_AT_114272 2009 2 1 -3.4 -3.5
HSD_AT_114272 2009 2 2 -2.9 -3.5
HSD_AT_114272 2009 2 8 1.1 0.6
HSD_AT_114272 2009 3 5 1.7 1.5
HSD_AT_114272 2009 3 6 1.1 0.3
HSD_AT_114272 2009 6 23 8.2 7.8
HSD_AT_114272 2009 8 4 13.8 13.3
HSD_AT_114272 2010 1 8 -1.2 -1.3
HSD_AT_114272 2010 2 6 0 -1.2
HSD_AT_114272 2010 2 9 -5.8 -6.6
HSD_AT_114272 2010 2 11 -3.8 -4.1
HSD_AT_114272 2010 2 20 0.8 0
HSD_AT_114272 2010 3 4 -0.6 -1.4
HSD_AT_114272 2010 3 10 -5.6 -6.6
HSD_AT_114272 2010 6 20 8.9 8.8
HSD_AT_114272 2010 9 17 11 10.3
HSD_AT_114272 2010 9 18 8.5 7.9
HSD_AT_114272 2010 9 25 10.7 10.4
HSD_AT_114272 2010 10 17 4.2 3.7
HSD_AT_114272 2011 2 13 0 -0.1
HSD_AT_114272 2011 2 15 -0.2 -1.4
