name lon lat ele num
HSD_FR_METEOFRANCE_St_auban_6116002 6.72283333333333 43.8415 1048 7
HSD_FR_METEOFRANCE_St_christophe_38375001 6.188484 44.945875 1570 12
HSD_FR_METEOFRANCE_St_christophe_38375400 6.18633333333333 44.9413333333333 1570 12
HSD_FR_METEOFRANCE_St_colomban_des_villards 6.230821 45.293105 1085 5
HSD_FR_METEOFRANCE_St_francois_long 6.358 45.4173333333333 1594 1
HSD_FR_METEOFRANCE_St_hilaire 5.88333333333333 45.305 970 111
HSD_FR_METEOFRANCE_St_hilaire_nivose 5.85816666666667 45.3083333333333 1756 1314
HSD_FR_METEOFRANCE_St_jean_de_belleville 6.4765 45.4233333333333 1050 3
HSD_FR_METEOFRANCE_St_michel_de_maurienne 6.490916 45.223679 1345 5
HSD_FR_METEOFRANCE_St_pierre_de_ch 5.81666666666667 45.3393333333333 895 8
HSD_FR_METEOFRANCE_St_pierre_de_chartreuse 5.84116666666667 45.3403333333333 1700 151
HSD_FR_METEOFRANCE_St_sorlin_d_arves_73280001 6.216464 45.223992 1694 8
HSD_FR_METEOFRANCE_St_sorlin_d_arves_73280402 6.2015 45.217 2090 145
HSD_FR_METEOFRANCE_St_veran_rm 6.86733333333333 44.7031666666667 2140 1
HSD_FR_METEOFRANCE_Ste_foy_station 6.8905 45.5733333333333 1524 7
HSD_FR_METEOFRANCE_Super_devoluy 5.904 44.6593333333333 1915 695
HSD_FR_METEOFRANCE_Toulon 5.90033333333333 43.1095 2 12
HSD_FR_METEOFRANCE_Trevignin 5.977266 45.706937 730 80
HSD_FR_METEOFRANCE_Vacheresse_auxi 6.67066666666667 46.3091666666667 790 4
HSD_FR_METEOFRANCE_Val_cenis_la_berche_ 6.92 45.2711666666667 2101 26
HSD_FR_METEOFRANCE_Val_frejus 6.65883333333333 45.1535 2208 65
HSD_FR_METEOFRANCE_Val_thorens 6.57616666666667 45.29 2283 35
HSD_FR_METEOFRANCE_Valberg 6.93816666666667 44.0855 1630 33
HSD_FR_METEOFRANCE_Valloire 6.45916666666667 45.1578333333333 2295 121
HSD_FR_METEOFRANCE_Valloire_forest 6.433302 45.172887 1460 15
HSD_FR_METEOFRANCE_Vallompierre 6.26866666666667 44.8 2560 394
HSD_FR_METEOFRANCE_Vallorcine 6.923 46.0245 1300 1
HSD_FR_METEOFRANCE_Valmeinier 6.48966666666667 45.1723333333333 1788 21
HSD_FR_METEOFRANCE_Valmorel 6.4405 45.4571666666667 1350 5
HSD_FR_METEOFRANCE_Vaujany 6.047245 45.149149 772 1
HSD_FR_METEOFRANCE_Vaujany_nivo 6.092 45.1553333333333 1720 19
HSD_FR_METEOFRANCE_Villard_cote_2000 5.56733333333333 45.0213333333333 1710 507
HSD_IT_BZ_Anterivo_Osservatore 11.36775099 46.27734539 1209 2
HSD_IT_BZ_Corona_Cortaccia_Osservatore 11.2067523 46.32075352 890 1
HSD_IT_BZ_Diga_di_Neves_Osservatore 11.78708948 46.94141718 1860 1
HSD_IT_BZ_Diga_di_Quaira_Osservatore 10.89376378 46.55203116 2252 12
HSD_IT_BZ_Favogna_di_sotto_Osservatore 11.17926262 46.2716181 1060 2
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 11.50596643 46.51315332 835 1
