station year duration start flag
HSD_IT_BZ_Longiaru_Osservatore 2007 39 147 OK
HSD_IT_BZ_Longiaru_Osservatore 2008 62 125 OK
HSD_IT_BZ_Longiaru_Osservatore 2009 129 91 OK
HSD_IT_BZ_Longiaru_Osservatore 2010 126 91 OK
HSD_IT_BZ_Longiaru_Osservatore 2011 82 79 OK
HSD_IT_BZ_Longiaru_Osservatore 2012 79 101 OK
HSD_IT_BZ_Longiaru_Osservatore 2013 116 107 OK
HSD_IT_BZ_Longiaru_Osservatore 2014 87 112 OK
HSD_IT_BZ_Luson_Osservatore 2001 45 114 NO
HSD_IT_BZ_Luson_Osservatore 2002 3 146 NO
HSD_IT_BZ_Luson_Osservatore 2003 10 82 NO
HSD_IT_BZ_Luson_Osservatore 2004 42 120 NO
HSD_IT_BZ_Luson_Osservatore 2005 6 117 NO
HSD_IT_BZ_Luson_Osservatore 2006 40 88 NO
HSD_IT_BZ_Luson_Osservatore 2007 29 144 NO
HSD_IT_BZ_Luson_Osservatore 2008 23 127 NO
HSD_IT_BZ_Luson_Osservatore 2009 59 133 NO
HSD_IT_BZ_Luson_Osservatore 2010 52 91 NO
HSD_IT_BZ_Luson_Osservatore 2011 49 87 NO
HSD_IT_BZ_Luson_Osservatore 2012 48 98 NO
HSD_IT_BZ_Luson_Osservatore 2013 43 137 NO
HSD_IT_BZ_Luson_Osservatore 2014 63 126 NO
HSD_IT_BZ_Luson_Osservatore 2015 5 139 NO
HSD_IT_BZ_Luson_Osservatore 2016 8 162 NO
HSD_IT_BZ_Luson_Osservatore 2017 9 136 NO
HSD_IT_BZ_Luson_Osservatore 2018 78 118 NO
HSD_IT_BZ_Luson_Osservatore 2019 42 135 NO
HSD_IT_BZ_Maia_Alta_Osservatore 2001 4 124 OK
HSD_IT_BZ_Maia_Alta_Osservatore 2002 0 NA OK
