name year mark los_MOD los_STA
HSD_IT_PIE_BI_CAMPARIENT 2022 OK 4 63
HSD_IT_PIE_BI_CAMPARIENT 2023 OK 25 94
HSD_IT_PIE_BI_GRAGLIA 2012 OK 25 62
HSD_IT_PIE_BI_GRAGLIA 2013 OK 15 95
HSD_IT_PIE_BI_GRAGLIA 2014 OK 18 114
HSD_IT_PIE_BI_GRAGLIA 2015 OK 22 71
HSD_IT_PIE_BI_GRAGLIA 2016 OK 0 23
HSD_IT_PIE_BI_GRAGLIA 2017 OK 0 37
HSD_IT_PIE_BI_GRAGLIA 2018 OK 14 86
HSD_IT_PIE_BI_GRAGLIA 2019 OK 0 41
HSD_IT_PIE_BI_GRAGLIA 2020 OK 0 23
HSD_IT_PIE_BI_GRAGLIA 2021 OK 25 87
HSD_IT_PIE_BI_GRAGLIA 2022 OK 3 35
HSD_IT_PIE_BI_GRAGLIA 2023 OK 0 53
HSD_IT_PIE_CN_ACCEGLIO 2002 OK 63 97
HSD_IT_PIE_CN_ACCEGLIO 2004 OK 123 166
HSD_IT_PIE_CN_ACCEGLIO 2005 OK 53 117
HSD_IT_PIE_CN_ACCEGLIO 2007 OK 24 75
HSD_IT_PIE_CN_ACCEGLIO 2008 OK 86 135
HSD_IT_PIE_CN_ACCEGLIO 2012 OK 37 115
HSD_IT_PIE_CN_ACCEGLIO 2013 OK 115 180
HSD_IT_PIE_CN_ACCEGLIO 2015 OK 98 130
HSD_IT_PIE_CN_ACCEGLIO 2016 OK 37 76
HSD_IT_PIE_CN_ACCEGLIO 2017 OK 57 114
HSD_IT_PIE_CN_ACCEGLIO 2019 OK 50 117
HSD_IT_PIE_CN_ACCEGLIO 2020 OK 84 125
HSD_IT_PIE_CN_ACCEGLIO 2021 OK 64 100
HSD_IT_PIE_CN_ACCEGLIO 2022 OK 41 58
HSD_IT_PIE_CN_ACCEGLIO 2023 OK 61 106
HSD_IT_PIE_CN_ACCEGLIO_SARETTO 2007 OK 44 61
HSD_IT_PIE_CN_ARGENTERA 2002 OK 88 132
HSD_IT_PIE_CN_ARGENTERA 2005 OK 88 128
HSD_IT_PIE_CN_ARGENTERA 2007 OK 60 93
HSD_IT_PIE_CN_ARGENTERA 2012 OK 76 114
HSD_IT_PIE_CN_ARGENTERA 2019 OK 89 148
HSD_IT_PIE_CN_ARGENTERA 2020 OK 114 153
HSD_IT_PIE_CN_ARGENTERA 2021 OK 89 121
HSD_IT_PIE_CN_ARGENTERA 2022 OK 68 135
HSD_IT_PIE_CN_ARGENTERA 2023 OK 84 120
HSD_IT_PIE_CN_BOVES 2023 OK 23 33
HSD_IT_PIE_CN_BRA 2004 OK 7 20
